Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
Revenue,Childrens Services,5105645566,10.01.2014,Looked After Children Units 5-7,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Looked After Children Units 5-7,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,School Music Service,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645567,10.01.2014,Medina Leisure Centre,Interview & recruitment expenses,51.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645567,10.01.2014,Medina Leisure Centre,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645567,10.01.2014,Medina Leisure Centre,Interview & recruitment expenses,28.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105648488,24.01.2014,Medina Leisure Centre,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105648488,24.01.2014,Medina Leisure Centre,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Gouldings Resource Centre,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Gouldings Resource Centre,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Saxonbury,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Saxonbury,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Plean Dene,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Plean Dene,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Plean Dene,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Plean Dene,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Plean Dene,Interview & recruitment expenses,220.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Plean Dene,Interview & recruitment expenses,30.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Saxonbury,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Saxonbury,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Saxonbury,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Saxonbury,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Head of Community Wellbeing,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Head of Community Wellbeing,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,Beaulieu House,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,Beaulieu House,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Beaulieu House,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Beaulieu House,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105648488,24.01.2014,Beaulieu House,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105648488,24.01.2014,Beaulieu House,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Behaviour & Parenting Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Behaviour & Parenting Team,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645566,10.01.2014,School Crossing Patrols,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645566,10.01.2014,School Crossing Patrols,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Wightcare,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Wightcare,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Wightcare,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Wightcare,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Clatterford Pupil Referral Unit (PRU),Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Clatterford Pupil Referral Unit (PRU),Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Learning Disability Homes Management & Admin,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Learning Disability Homes Management & Admin,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645566,10.01.2014,Fort Victoria,Interview & recruitment expenses,52.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645566,10.01.2014,Fort Victoria,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Education Participation Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Education Participation Team,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Training - Childrens,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645566,10.01.2014,Training - Childrens,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Hospital Team,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Hospital Team,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,Adoption Team,Interview & recruitment expenses,264.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,Adoption Team,Interview & recruitment expenses,36.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Adoption Team,Interview & recruitment expenses,264.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Adoption Team,Interview & recruitment expenses,48.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105648488,24.01.2014,Adoption Team,Interview & recruitment expenses,36.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105648488,24.01.2014,Adoption Team,Interview & recruitment expenses,264.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105642179,15.01.2014,Licensing Services,Interview & recruitment expenses,396.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105647052,15.01.2014,Licensing Services,Interview & recruitment expenses,176.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105647052,15.01.2014,Licensing Services,Professional Services,24.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105642179,15.01.2014,Licensing Services,Professional Services,54.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105648488,24.01.2014,In-house Fostering,Interview & recruitment expenses,264.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105648488,24.01.2014,In-house Fostering,Interview & recruitment expenses,36.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,In-house Fostering,Interview & recruitment expenses,748.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,In-house Fostering,Interview & recruitment expenses,108.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,In-house Fostering,Interview & recruitment expenses,748.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,In-house Fostering,Interview & recruitment expenses,114.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Adelaide Resource Centre,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Adelaide Resource Centre,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,Youth Offending Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,Youth Offending Team,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645566,10.01.2014,The Heights,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645567,10.01.2014,The Heights,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105645566,10.01.2014,The Heights,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105648488,24.01.2014,The Heights,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Economy & Environment,5105648488,24.01.2014,The Heights,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Adelaide Resource Centre,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105645567,10.01.2014,Adelaide Resource Centre,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Overbrook,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105648488,24.01.2014,Overbrook,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Community Wellbeing & Social Care,5105646276,10.01.2014,Elderly Frail Homecare,Regular Respite Care,58.08,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646259,10.01.2014,Elderly Frail Homecare,Regular Respite Care,87.12,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646275,10.01.2014,Elderly Frail Homecare,Regular Respite Care,29.04,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646261,10.01.2014,Elderly Frail Homecare,Regular Respite Care,174.24,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646269,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,588.06,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646270,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,116.16,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646260,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,522.72,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646272,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,856.68,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646274,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,261.36,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646255,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,406.56,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646256,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,174.24,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646257,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,348.48,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646251,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,58.08,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646244,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,377.52,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646245,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,"1,118.04",ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646246,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,827.64,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646238,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,813.12,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646239,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,"2,294.16",ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646240,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,290.40,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646241,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,712.08,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646236,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,377.52,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646262,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,319.44,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646258,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,228.69,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646253,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,203.28,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646254,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,203.28,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646268,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,711.48,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646266,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,406.56,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646264,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,348.48,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646271,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,"2,613.60",ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646237,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,"2,555.52",ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646248,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,522.72,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646249,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,689.70,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646250,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,101.64,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646252,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,203.28,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646243,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,"1,401.18",ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105646247,10.01.2014,Elderly Frail Homecare,Charges from Independent Providers,203.28,ACORN CARE SERVICE LTD
